ELAN Touchpad 11.15.0.18_X64                                                                         - X64 - 11.15.0.18
Security Update for Microsoft Excel 2013 (KB4461460) 64-Bit Edition                                  - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Office OSM MUI (English) 2013                                                              - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Office OSM UX MUI (English) 2013                                                           - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Office Shared Setup Metadata MUI (English) 2013                                            - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Access Setup Metadata MUI (English) 2013                                                   - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Lync MUI (English) 2013                                                                    - X64 - 15.0.4569.1506
Security Update for Skype for Business 2015 (KB3213568) 64-Bit Edition                               - X64 - 
Update for Skype for Business 2015 (KB4461446) 64-Bit Edition                                        - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Word 2013 (KB4461457) 64-Bit Edition                                   - X64 - 
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005                                        - X64 - 12.0.21005
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                          - X64 - 10.0.50908
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005                                           - X64 - 12.0.21005
NVIDIA Control Panel 369.09                                                                          - X64 - 369.09
NVIDIA Optimus Update 10.4.0                                                                         - X64 - 10.4.0
NVIDIA Update 10.4.0                                                                                 - X64 - 10.4.0
NVIDIA Install Application                                                                           - X64 - 2.1002.216.1918
NVIDIA Update Core                                                                                   - X64 - 10.4.0
Microsoft Visual C++ 2017 x64 Additional Runtime - 14.10.25008                                       - X64 - 14.10.25008
VMware Workstation                                                                                   - X64 - 14.0.0
Microsoft Visual Studio Code                                                                         - X64 - 1.28.1
Virastyar                                                                                            - X64 - 3.5
Adobe Flash Player 19 NPAPI                                                                          - X32 - 19.0.0.185
AIMP Classic                                                                                         - X32 - 
Dropbox                                                                                              - X32 - 59.4.93
Foxit Reader                                                                                         - X32 - 7.0.3.916
Google Chrome                                                                                        - X32 - 69.0.3497.100
IntelliJ IDEA Community Edition 2017.2.5                                                             - X32 - 172.4343.14
Notepad++ (32-bit x86)                                                                               - X32 - 7.5.7
Picasa 3                                                                                             - X32 - 3.9
ResearchSoft Direct Export Helper                                                                    - X32 - 
Soroush Desktop Application                                                                          - X32 - 0.16.1.0
Virastyar                                                                                            - X32 - 3.5
VLC media player                                                                                     - X32 - 3.0.3
WinPcap 4.1.3                                                                                        - X32 - 4.1.0.2980
SHAREit                                                                                              - X32 - 4.0.6.177
XMind 8 Update 5 (v3.7.5)                                                                            - X32 - 3.7.5.201709290120
Python 2.7.14                                                                                        - X32 - 2.7.14150
Python 3.6.3 Add to Path (32-bit)                                                                    - X32 - 3.6.3150.0
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501                                         - X32 - 12.0.30501.0
Dropbox Update Helper                                                                                - X32 - 1.3.141.1
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005                                           - X32 - 12.0.21005
Python 3.6.3 Standard Library (32-bit)                                                               - X32 - 3.6.3150.0
Python 3.6.3 Documentation (32-bit)                                                                  - X32 - 3.6.3150.0
Foxit Cloud                                                                                          - X32 - 2.1.32.905
Java Auto Updater                                                                                    - X32 - 2.8.152.16
Python 3.6.3 Core Interpreter (32-bit)                                                               - X32 - 3.6.3150.0
Google Update Helper                                                                                 - X32 - 1.3.33.17
Python 3.6.3 Test Suite (32-bit)                                                                     - X32 - 3.6.3150.0
Python 3.6.3 Utility Scripts (32-bit)                                                                - X32 - 3.6.3150.0
EndNote X8                                                                                           - X32 - 18.1.0.11010
Microsoft Office 2010 Primary Interop Assemblies                                                     - X32 - 14.0.4763.1150
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161                                       - X32 - 9.0.30729.6161
Python 3.6.3 Tcl/Tk Support (32-bit)                                                                 - X32 - 3.6.3150.0
Python Launcher                                                                                      - X32 - 3.6.6119.0
Python 3.6.3 Executables (32-bit)                                                                    - X32 - 3.6.3150.0
ISO to USB                                                                                           - X32 - 
Python 3.6.3 pip Bootstrap (32-bit)                                                                  - X32 - 3.6.3150.0
Chromium                                                                                             - X32 - 
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                                          - X32 - 10.0.40219
Intel(R) Processor Graphics                                                                          - X32 - 8.15.10.2345
Realtek High Definition Audio Driver                                                                 - X32 - 6.0.1.7571
Microsoft Visual C++ 2017 Redistributable (x64) - 14.10.25008                                        - X32 - 14.10.25008.0
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501                                         - X32 - 12.0.30501.0
EagleGet version 2.0.4.28                                                                            - X32 - 2.0.4.28
Python 3.6.3 Development Libraries (32-bit)                                                          - X32 - 3.6.3150.0
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005                                        - X32 - 12.0.21005
Evernote v. 6.11.2                                                                                   - X32 - 6.11.2.7027
